Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/20/2026 	_x86_64_	(64 CPU)

12:06:27 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:08:25 PM  1000    277893  240.00  121.00    0.00    0.00  361.00     0  java
12:08:26 PM  1000    277893  242.00  121.00    0.00    0.00  363.00     0  java
12:08:27 PM  1000    277893  241.00  120.00    0.00    0.00  361.00     0  java
12:08:28 PM  1000    277893  249.00  115.00    0.00    0.00  364.00     0  java
12:08:29 PM  1000    277893  232.00  127.00    0.00    0.00  359.00     0  java
12:08:30 PM  1000    277893  236.00  125.00    0.00    0.00  361.00     0  java
12:08:31 PM  1000    277893  238.00  124.00    0.00    0.00  362.00     0  java
12:08:32 PM  1000    277893  237.00  125.00    0.00    0.00  362.00     0  java
12:08:33 PM  1000    277893  239.00  122.00    0.00    0.00  361.00     0  java
12:08:34 PM  1000    277893  233.00  126.00    0.00    0.00  359.00     0  java
12:08:35 PM  1000    277893  237.00  125.00    0.00    0.00  362.00     0  java
12:08:36 PM  1000    277893  235.00  127.00    0.00    0.00  362.00     0  java
12:08:37 PM  1000    277893  236.00  126.00    0.00    0.00  362.00     0  java
12:08:38 PM  1000    277893  233.00  127.00    0.00    0.00  360.00     0  java
12:08:39 PM  1000    277893  235.00  127.00    0.00    0.00  362.00     0  java
12:08:40 PM  1000    277893  235.00  127.00    0.00    0.00  362.00     0  java
12:08:41 PM  1000    277893  242.00  118.00    0.00    0.00  360.00     0  java
12:08:42 PM  1000    277893   34.00   15.00    0.00    0.00   49.00     0  java
12:08:43 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:44 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:45 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:46 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:47 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:48 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:49 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:50 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:51 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:52 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:53 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:54 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:55 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:56 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:57 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:58 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:08:59 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:00 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:01 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:02 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:03 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:04 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:05 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:06 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:07 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:08 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:09 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:10 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:11 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:12 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:13 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:14 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:15 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:16 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:17 PM  1000    277893  232.00   69.00    0.00    0.00  301.00     0  java
12:09:18 PM  1000    277893  243.00  118.00    0.00    0.00  361.00     0  java
12:09:19 PM  1000    277893  243.00  118.00    0.00    0.00  361.00     0  java
12:09:20 PM  1000    277893  236.00  126.00    0.00    0.00  362.00     0  java
12:09:21 PM  1000    277893  241.00  121.00    0.00    0.00  362.00     0  java
12:09:22 PM  1000    277893  238.00  124.00    0.00    0.00  362.00     0  java
12:09:23 PM  1000    277893  235.00  123.00    0.00    0.00  358.00     0  java
12:09:24 PM  1000    277893  241.00  121.00    0.00    0.00  362.00     0  java
12:09:25 PM  1000    277893  238.00  123.00    0.00    0.00  361.00     0  java
12:09:26 PM  1000    277893  240.00  122.00    0.00    0.00  362.00     0  java
12:09:27 PM  1000    277893  240.00  122.00    0.00    0.00  362.00     0  java
12:09:28 PM  1000    277893  239.00  123.00    0.00    0.00  362.00     0  java
12:09:29 PM  1000    277893  235.00  126.00    0.00    0.00  361.00     0  java
12:09:30 PM  1000    277893  241.00  119.00    0.00    0.00  360.00     0  java
12:09:31 PM  1000    277893  235.00  123.00    0.00    0.00  358.00     0  java
12:09:32 PM  1000    277893  243.00  118.00    0.00    0.00  361.00     0  java
12:09:33 PM  1000    277893  243.00  120.00    0.00    0.00  363.00     0  java
12:09:34 PM  1000    277893  239.00  122.00    0.00    0.00  361.00     0  java
12:09:35 PM  1000    277893  235.00  126.00    0.00    0.00  361.00     0  java
12:09:36 PM  1000    277893  237.00  125.00    0.00    0.00  362.00     0  java
12:09:37 PM  1000    277893  240.00  122.00    0.00    0.00  362.00     0  java
12:09:38 PM  1000    277893  241.00  121.00    0.00    0.00  362.00     0  java
12:09:39 PM  1000    277893  236.00  126.00    0.00    0.00  362.00     0  java
12:09:40 PM  1000    277893  240.00  119.00    0.00    0.00  359.00     0  java
12:09:41 PM  1000    277893  235.00  125.00    0.00    0.00  360.00     0  java
12:09:42 PM  1000    277893  241.00  122.00    0.00    0.00  363.00     0  java
12:09:43 PM  1000    277893  238.00  121.00    0.00    0.00  359.00     0  java
12:09:44 PM  1000    277893  240.00  119.00    0.00    0.00  359.00     0  java
12:09:45 PM  1000    277893  233.00  129.00    0.00    0.00  362.00     0  java
12:09:46 PM  1000    277893  242.00  120.00    0.00    0.00  362.00     0  java
12:09:47 PM  1000    277893  239.00  123.00    0.00    0.00  362.00     0  java
12:09:48 PM  1000    277893  238.00  123.00    0.00    0.00  361.00     0  java
12:09:49 PM  1000    277893  241.00  121.00    0.00    0.00  362.00     0  java
12:09:50 PM  1000    277893  237.00  125.00    0.00    0.00  362.00     0  java
12:09:51 PM  1000    277893  239.00  124.00    0.00    0.00  363.00     0  java
12:09:52 PM  1000    277893  237.00  122.00    0.00    0.00  359.00     0  java
12:09:53 PM  1000    277893   38.00   17.00    0.00    0.00   55.00     0  java
12:09:54 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:09:55 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
